Year,Average Sale Price of Houses Sold,Average Wage Index,Average Egg Prices by Year*,Price Change of Houses ,Percentage Change of House Prices,Price Change of Eggs,Percentage Change of Egg Prices,Wage Change,Percentage Wage Change,Avg,Avg-Avg
1974,"$38,725.00","$8,030.76",,"$3,625.00",9.36%,0,0.00%,$450.60,5.61%,49.3,11.0
1975,"$42,525.00","$8,630.92",,"$3,800.00",8.94%,0,0.00%,$600.16,6.95%,53.8,9.1
1976,"$48,050.00","$9,226.48",,"$5,525.00",11.50%,0,0.00%,$595.56,6.45%,56.9,5.8
1977,"$54,350.00","$9,779.44",,"$6,300.00",11.59%,0,0.00%,$552.96,5.65%,60.6,6.5
1978,"$62,700.00","$10,556.03",,"$8,350.00",13.32%,0,0.00%,$776.59,7.36%,65.2,7.6
1979,"$71,900.00","$11,479.46",,"$9,200.00",12.80%,0,0.00%,$923.43,8.04%,72.6,11.3
1980,"$76,375.00","$12,513.46",$0.84,"$4,475.00",5.86%,0,0.00%,"$1,034.00",8.26%,82.4,13.5
1981,"$83,175.00","$13,773.10",$0.90,"$6,800.00",8.18%,$0.06,6.67%,"$1,259.64",9.15%,90.9,10.3
1982,"$83,850.00","$14,531.34",$0.87,$675.00,0.81%,-$0.03,-3.45%,$758.24,5.22%,96.5,6.2
1983,"$89,775.00","$15,239.24",$0.89,"$5,925.00",6.60%,$0.02,2.25%,$707.90,4.65%,99.6,3.2
1984,"$97,550.00","$16,135.07",$1.00,"$7,775.00",7.97%,$0.11,11.00%,$895.83,5.55%,103.9,4.3
1985,"$100,825.00","$16,822.51",$0.80,"$3,275.00",3.25%,-$0.20,-25.00%,$687.44,4.09%,107.6,3.6
1986,"$112,075.00","$17,321.82",$0.87,"$11,250.00",10.04%,$0.07,8.05%,$499.31,2.88%,109.6,1.9
1987,"$127,575.00","$18,426.51",$0.78,"$15,500.00",12.15%,-$0.09,-11.54%,"$1,104.69",6.00%,113.6,3.6
1988,"$138,650.00","$19,334.04",$0.79,"$11,075.00",7.99%,$0.01,1.27%,$907.53,4.69%,118.3,4.1
1989,"$148,125.00","$20,099.55",$1.00,"$9,475.00",6.40%,$0.21,21.00%,$765.51,3.81%,124.0,4.8
1990,"$149,075.00","$21,027.98",$1.01,$950.00,0.64%,$0.01,0.99%,$928.43,4.42%,130.7,5.4
1991,"$147,275.00","$21,811.60",$0.99,"-$1,800.00",-1.22%,-$0.02,-2.02%,$783.62,3.59%,136.2,4.2
1992,"$144,675.00","$22,935.42",$0.86,"-$2,600.00",-1.80%,-$0.13,-15.12%,"$1,123.82",4.90%,140.3,3.0
1993,"$147,475.00","$23,132.67",$0.91,"$2,800.00",1.90%,$0.05,5.49%,$197.25,0.85%,144.5,3.0
1994,"$154,175.00","$23,753.53",$0.86,"$6,700.00",4.35%,-$0.05,-5.81%,$620.86,2.61%,148.2,2.6
1995,"$157,750.00","$24,705.66",$0.92,"$3,575.00",2.27%,$0.06,6.52%,$952.13,3.85%,152.4,2.8
1996,"$165,525.00","$25,913.90",$1.11,"$7,775.00",4.70%,$0.19,17.12%,"$1,208.24",4.66%,156.9,3.0
1997,"$174,875.00","$27,426.00",$1.06,"$9,350.00",5.35%,-$0.05,-4.72%,"$1,512.10",5.51%,160.5,2.3
1998,"$181,150.00","$28,861.44",$1.04,"$6,275.00",3.46%,-$0.02,-1.92%,"$1,435.44",4.97%,163.0,1.6
1999,"$194,675.00","$30,469.84",$0.96,"$13,525.00",6.95%,-$0.08,-8.33%,"$1,608.40",5.28%,166.6,2.2
2000,"$205,375.00","$32,154.82",$0.91,"$10,700.00",5.21%,-$0.05,-5.49%,"$1,684.98",5.24%,172.2,3.4
2001,"$211,050.00","$32,921.92",$0.93,"$5,675.00",2.69%,$0.02,2.15%,$767.10,2.33%,177.1,2.8
2002,"$226,700.00","$33,252.09",$1.03,"$15,650.00",6.90%,$0.10,9.71%,$330.17,0.99%,179.9,1.6
2003,"$244,550.00","$34,064.95",$1.24,"$17,850.00",7.30%,$0.21,16.94%,$812.86,2.39%,184.0,2.3
2004,"$272,125.00","$35,648.55",$1.34,"$27,575.00",10.13%,$0.10,7.46%,"$1,583.60",4.44%,188.9,2.7
2005,"$291,275.00","$36,952.94",$1.22,"$19,150.00",6.57%,-$0.12,-9.84%,"$1,304.39",3.53%,195.3,3.4
2006,"$303,900.00","$38,651.41",$1.31,"$12,625.00",4.15%,$0.09,6.87%,"$1,698.47",4.39%,201.6,3.2
2007,"$309,800.00","$40,405.48",$1.68,"$5,900.00",1.90%,$0.37,22.02%,"$1,754.07",4.34%,207.3,2.8
2008,"$289,075.00","$41,334.97",$1.99,"-$20,725.00",-7.17%,$0.31,15.58%,$929.49,2.25%,215.303,3.8
2009,"$269,350.00","$40,711.61",$1.66,"-$19,725.00",-7.32%,-$0.33,-19.88%,-$623.36,-1.53%,214.537,-0.4
2010,"$272,025.00","$41,673.83",$1.66,"$2,675.00",0.98%,$0.00,0.00%,$962.22,2.31%,218.056,1.6
2011,"$264,600.00","$42,979.61",$1.77,"-$7,425.00",-2.81%,$0.11,6.21%,"$1,305.78",3.04%,224.939,3.2
2012,"$288,225.00","$44,321.67",$1.84,"$23,625.00",8.20%,$0.07,3.80%,"$1,342.06",3.03%,229.594,2.1
2013,"$321,650.00","$44,888.16",$1.91,"$33,425.00",10.39%,$0.07,3.66%,$566.49,1.26%,232.957,1.5
2014,"$345,450.00","$46,481.52",$2.02,"$23,800.00",6.89%,$0.11,5.45%,"$1,593.36",3.43%,236.736,1.6
2015,"$350,450.00","$48,098.63",$2.47,"$5,000.00",1.43%,$0.45,18.22%,"$1,617.11",3.36%,237.017,0.1
2016,"$359,650.00","$48,642.15",$1.68,"$9,200.00",2.56%,-$0.79,-47.02%,$543.52,1.12%,240.007,1.3
2017,"$381,150.00","$50,321.89",$1.47,"$21,500.00",5.64%,-$0.21,-14.29%,"$1,679.74",3.34%,245.12,2.1
2018,"$382,475.00","$52,145.80",$1.74,"$1,325.00",0.35%,$0.27,15.52%,"$1,823.91",3.50%,251.107,2.4
2019,"$379,875.00","$54,099.99",$1.40,"-$2,600.00",-0.68%,-$0.34,-24.29%,"$1,954.19",3.61%,255.657,1.8
2020,"$387,900.00","$55,628.60",$1.51,"$8,025.00",2.07%,$0.11,7.28%,"$1,528.61",2.75%,258.811,1.2
2021,"$452,675.00","$60,575.07",$1.67,"$64,775.00",14.31%,$0.16,9.58%,"$4,946.47",8.17%,270.97,4.7
2022,"$516,425.00","$63,795.13",$2.86,"$63,750.00",12.34%,$1.19,41.61%,"$3,220.06",5.05%,292.655,8.0
2023,"$507,125.00","$66,621.80",,"-$9,300.00",-1.83%,0,0.00%,"$2,826.67",4.24%,304.702,4.1
2024,"$507,875.00","$69,846.57",,$750.00,0.15%,0,0.00%,"$3,224.77",4.62%,313.689,2.9                      
2025,"$513,500.00",,,"$5,625.00",1.10%,0,0.00%,0,0.00%,321.466,--
